settlement_date,evaluation_segment,wind_forecast_mean_cf,solar_forecast_mean_cf,mixed_forecast_mean_cf,mixed_mean_abs_ramp_cf,mixed_max_abs_ramp_cf,season,wind_outlook,solar_outlook,ramp_stress,absolute_forecast_error_mwh,firming_absorbed_pct,meets_90pct_firming,power_limited_periods,energy_limited_periods,perfect_foresight_margin_gbp,forecast_strategy_margin_gbp,naive_strategy_margin_gbp,reserve_aware_forecast_margin_gbp,reserve_corridor_feasible,mean_reserve_corridor_width_mwh,stage14_available,stage14_day_coverage_pct,stage14_mean_width_mw,stage14_energy_band_feasible,stage14_recommended_start_soc_pct,stage14_downward_reserve_mwh,stage14_upward_headroom_mwh
2025-09-09,development_oof,0.20471205158780015,0.12494774013915348,0.16482989586347682,0.011368487032996205,0.04243034869432452,Autumn,Medium,Medium,Normal,108.44385424378945,88.80179487513011,False,0,4,3106.7083333333376,2394.592460257372,2530.586597054855,2684.3163145304197,True,111.15681506270998,False,,,,,,
2025-09-10,development_oof,0.3821307147542636,0.07671751991332103,0.22942411733379228,0.011356043910230568,0.04419448226690298,Autumn,High,Medium,Normal,113.73741044770031,74.69912897515346,False,0,9,10408.541666666668,7937.916425978573,9166.43055555556,7500.427596282915,True,100.5799842938996,False,,,,,,
2025-09-11,development_oof,0.46158393782873947,0.12268042950245213,0.2921321836655958,0.012127847882159893,0.039760295301675824,Autumn,High,Medium,Normal,58.31851442612826,100.0,True,0,0,12282.829235709793,11416.609885430822,11373.069444444443,9145.767393230775,True,90.44696332039295,False,,,,,,
2025-09-12,development_oof,0.40333619465430576,0.13018345224842653,0.2667598234513661,0.014185246118510504,0.05634448677301407,Autumn,High,Medium,High-ramp,61.05591544874039,100.0,True,0,0,11631.000080761078,10737.907746304914,10593.290977805063,8746.28790002027,True,96.49970806725943,False,,,,,,
2025-09-13,development_oof,0.33506628187994164,0.12387257463387867,0.2294694282569101,0.014039937616265277,0.06915222108364105,Autumn,Medium,Medium,High-ramp,36.79587669891117,100.0,True,0,0,9688.164658609683,7567.992701452082,7041.610024026357,5595.192679219709,True,102.716671837603,False,,,,,,
2025-09-14,development_oof,0.3817441128194332,0.05331306667297513,0.21752858974620418,0.009571988779195332,0.02704242244362831,Autumn,High,Medium,Normal,47.99570733933447,100.0,True,0,0,3713.901852203035,-811.6569434916885,-2735.3311197877715,547.5801686285615,True,102.1986833766063,False,,,,,,
2025-09-15,development_oof,0.6766436373194059,0.11551694647732798,0.39608029189836697,0.012195759932486306,0.05343194305896759,Autumn,High,Medium,Normal,46.80220000925842,100.0,True,0,0,9548.055307907944,7787.820890940712,-2551.974023691418,6123.4901974618015,True,87.85995638604305,False,,,,,,
2025-09-16,development_oof,0.44111928530037403,0.11523163159154133,0.2781754584459577,0.015130778107353157,0.0548387691378594,Autumn,High,Medium,High-ramp,64.7590273808801,100.0,True,0,0,9678.985516457971,7583.195504596777,7051.371951639976,5939.654660676672,True,98.021069703852,False,,,,,,
2025-09-17,development_oof,0.3888654538119833,0.03559163485874702,0.21222854433536512,0.01070387265644967,0.03425031126243988,Autumn,High,Low,Normal,90.56991335153147,93.10752450855779,True,0,2,9090.78264167661,6460.963936053597,3027.730885466607,6115.157507014809,True,100.7998639256048,False,,,,,,
2025-09-18,development_oof,0.4963803564508756,0.07685304536456287,0.28661670090771924,0.012861855721287917,0.0712525323033334,Autumn,High,Medium,Normal,74.04896199466388,100.0,True,0,0,7910.79601584697,5967.080146967695,3318.2825688829344,5097.599226142071,True,93.89822916858954,False,,,,,,
