settlement_date,perfect_qr_availability_gbp,forecast_selected_qr_availability_gbp,naive_selected_qr_availability_gbp,forecast_capture_pct,naive_capture_pct,forecast_regret_gbp,naive_regret_gbp,forecast_mean_abs_commitment_error_mw,naive_mean_abs_commitment_error_mw,forecast_mean_pqr_mw,forecast_mean_nqr_mw,naive_mean_pqr_mw,naive_mean_nqr_mw,perfect_mean_pqr_mw,perfect_mean_nqr_mw
2026-05-14,3038.5,2963.625,2467.75,97.53579068619385,81.21606055619549,74.875,570.75,8.854166666666666,11.458333333333334,13.020833333333334,11.979166666666666,10.9375,11.458333333333334,16.666666666666668,6.770833333333333
2026-05-15,2658.75,2395.125,2172.0,90.08462623413259,81.69252468265162,263.625,486.75,10.9375,14.583333333333334,14.0625,10.9375,16.666666666666668,6.770833333333333,14.583333333333334,9.895833333333334
2026-05-16,1568.0,1435.75,1316.75,91.56568877551021,83.97640306122449,132.25,251.25,10.9375,15.625,15.104166666666666,9.895833333333334,14.583333333333334,9.895833333333334,15.625,8.854166666666666
2026-05-17,1941.5,1866.0,1814.375,96.11125418490857,93.45222765902652,75.5,127.125,12.5,13.020833333333334,15.625,9.375,15.625,8.854166666666666,16.145833333333332,6.770833333333333
2026-05-18,2318.375,2213.125,1965.125,95.46018223971532,84.76303445301127,105.25,353.25,10.9375,18.229166666666668,16.145833333333332,8.854166666666666,16.145833333333332,6.770833333333333,13.020833333333334,9.375
2026-05-19,4235.125,3964.125,2966.5,93.60113337858976,70.04515805318616,271.0,1268.625,7.8125,16.666666666666668,15.104166666666666,9.895833333333334,13.020833333333334,9.375,16.145833333333332,8.333333333333334
2026-05-20,4039.75,3778.875,3775.625,93.54229840955504,93.46184788662664,260.875,264.125,9.895833333333334,10.416666666666666,16.145833333333332,8.854166666666666,16.145833333333332,8.333333333333334,12.5,10.9375
2026-05-21,2390.875,2357.5,2242.25,98.60406754849166,93.78365661107335,33.375,148.625,8.854166666666666,11.458333333333334,14.583333333333334,10.416666666666666,12.5,10.9375,14.0625,9.375
2026-05-22,3075.25,2805.125,2699.125,91.21616128770019,87.76928704983335,270.125,376.125,13.020833333333334,10.416666666666666,15.625,9.375,14.0625,9.375,16.666666666666668,7.8125
2026-05-23,3671.5,3596.0,2953.625,97.94361977393436,80.44736483725998,75.5,717.875,10.416666666666666,15.104166666666666,14.583333333333334,10.416666666666666,16.666666666666668,7.8125,15.104166666666666,7.8125
2026-05-24,2176.75,2146.375,2055.75,98.60457103479959,94.44125416331687,30.375,121.0,7.291666666666667,8.333333333333334,15.104166666666666,9.895833333333334,15.104166666666666,7.8125,14.0625,9.895833333333334
