service_date,delivery_start_utc,product,family,direction,window_hours,cleared_volume_mw,clearing_price_gbp_per_mw_per_hour,forecast_clearing_price_gbp_per_mw_per_hour,prior_same_window_price_gbp_per_mw_per_hour,naive_clearing_price_gbp_per_mw_per_hour
2026-05-01,2026-05-01 07:30:00+00:00,PBR,Balancing Reserve,upward,0.5,600,7.33,4.503998731815365,0.5,0.5
2026-05-01,2026-05-01 07:30:00+00:00,PQR,Quick Reserve,upward,0.5,500,6.91,9.455603412460816,8.92,8.92
2026-05-01,2026-05-01 07:30:00+00:00,PSR,Slow Reserve,upward,0.5,1790,5.5,5.855660807074941,3.96,3.96
2026-05-01,2026-05-01 08:00:00+00:00,NBR,Balancing Reserve,downward,0.5,2,0.0,0.06300134585345134,0.0,0.0
2026-05-01,2026-05-01 08:00:00+00:00,NQR,Quick Reserve,downward,0.5,300,1.0,0.6574659491374539,0.0,0.0
2026-05-01,2026-05-01 08:00:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.5107744154927063,0.0,0.0
2026-05-01,2026-05-01 08:00:00+00:00,PBR,Balancing Reserve,upward,0.5,598,4.91,3.878459771412156,0.5,0.5
2026-05-01,2026-05-01 08:00:00+00:00,PQR,Quick Reserve,upward,0.5,498,5.71,8.866113460115113,9.09,9.09
2026-05-01,2026-05-01 08:00:00+00:00,PSR,Slow Reserve,upward,0.5,1790,5.5,5.864672584513811,3.96,3.96
2026-05-01,2026-05-01 08:30:00+00:00,NBR,Balancing Reserve,downward,0.5,2,0.0,0.06955947685866978,0.0,0.0
2026-05-01,2026-05-01 08:30:00+00:00,NQR,Quick Reserve,downward,0.5,300,1.2,0.8090253454995356,0.0,0.0
2026-05-01,2026-05-01 08:30:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.5291174265772515,0.0,0.0
2026-05-01,2026-05-01 08:30:00+00:00,PBR,Balancing Reserve,upward,0.5,598,4.59,2.255390106791265,0.5,0.5
2026-05-01,2026-05-01 08:30:00+00:00,PQR,Quick Reserve,upward,0.5,486,4.32,7.8919077411986205,6.73,6.73
2026-05-01,2026-05-01 08:30:00+00:00,PSR,Slow Reserve,upward,0.5,1790,5.5,5.869553181768047,3.96,3.96
2026-05-01,2026-05-01 09:00:00+00:00,NBR,Balancing Reserve,downward,0.5,4,0.0,0.06725163296413975,0.0,0.0
2026-05-01,2026-05-01 09:00:00+00:00,NQR,Quick Reserve,downward,0.5,300,1.27,1.1531181086139002,0.45,0.45
2026-05-01,2026-05-01 09:00:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.5456290207921393,0.0,0.0
2026-05-01,2026-05-01 09:00:00+00:00,PBR,Balancing Reserve,upward,0.5,600,4.22,2.045456632663753,0.5,0.5
2026-05-01,2026-05-01 09:00:00+00:00,PQR,Quick Reserve,upward,0.5,500,1.27,7.401214347517469,9.0,9.0
2026-05-01,2026-05-01 09:00:00+00:00,PSR,Slow Reserve,upward,0.5,1790,5.5,5.870219090465466,3.96,3.96
2026-05-01,2026-05-01 09:30:00+00:00,NBR,Balancing Reserve,downward,0.5,4,0.0,0.06469031625998967,0.0,0.0
2026-05-01,2026-05-01 09:30:00+00:00,NQR,Quick Reserve,downward,0.5,300,1.27,1.5022754704939698,0.0,0.0
2026-05-01,2026-05-01 09:30:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.5691914895487038,0.0,0.0
2026-05-01,2026-05-01 09:30:00+00:00,PBR,Balancing Reserve,upward,0.5,592,6.94,2.3212712599250622,0.5,0.5
2026-05-01,2026-05-01 09:30:00+00:00,PQR,Quick Reserve,upward,0.5,500,1.27,6.816021392016166,7.89,7.89
2026-05-01,2026-05-01 09:30:00+00:00,PSR,Slow Reserve,upward,0.5,1802,3.51,3.4401913769637846,2.0,2.0
2026-05-01,2026-05-01 10:00:00+00:00,DCH,Dynamic Containment,downward,4.0,1241,1.63,3.6512548030965246,3.77,3.77
2026-05-01,2026-05-01 10:00:00+00:00,DCL,Dynamic Containment,upward,4.0,1126,2.18,1.370732881345324,1.81,1.81
2026-05-01,2026-05-01 10:00:00+00:00,DMH,Dynamic Moderation,downward,4.0,529,-0.69,3.1144966152582816,8.0,8.0
2026-05-01,2026-05-01 10:00:00+00:00,DML,Dynamic Moderation,upward,4.0,530,5.59,4.031131227103387,1.16,1.16
2026-05-01,2026-05-01 10:00:00+00:00,DRH,Dynamic Regulation,downward,4.0,500,-8.81,-0.22322422724175583,6.16,6.16
2026-05-01,2026-05-01 10:00:00+00:00,DRL,Dynamic Regulation,upward,4.0,480,21.51,10.385201977544149,2.6,2.6
2026-05-01,2026-05-01 10:00:00+00:00,NBR,Balancing Reserve,downward,0.5,2,0.0,0.0,0.0,0.0
2026-05-01,2026-05-01 10:00:00+00:00,NQR,Quick Reserve,downward,0.5,300,1.0,2.6139143053290836,4.0,4.0
2026-05-01,2026-05-01 10:00:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.013513965301843595,0.0,0.0
2026-05-01,2026-05-01 10:00:00+00:00,PBR,Balancing Reserve,upward,0.5,500,1.99,1.7960153356799087,2.4,2.4
2026-05-01,2026-05-01 10:00:00+00:00,PQR,Quick Reserve,upward,0.5,499,5.0,5.076941285701365,3.26,3.26
2026-05-01,2026-05-01 10:00:00+00:00,PSR,Slow Reserve,upward,0.5,1802,3.51,3.432466036342491,2.0,2.0
2026-05-01,2026-05-01 10:30:00+00:00,NBR,Balancing Reserve,downward,0.5,2,0.0,0.0,0.0,0.0
2026-05-01,2026-05-01 10:30:00+00:00,NQR,Quick Reserve,downward,0.5,300,0.5,2.9220061874774124,1.0,1.0
2026-05-01,2026-05-01 10:30:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.02298509630377446,0.0,0.0
2026-05-01,2026-05-01 10:30:00+00:00,PBR,Balancing Reserve,upward,0.5,500,1.99,1.752262773867851,2.4,2.4
2026-05-01,2026-05-01 10:30:00+00:00,PQR,Quick Reserve,upward,0.5,500,2.05,5.383224786868603,5.0,5.0
2026-05-01,2026-05-01 10:30:00+00:00,PSR,Slow Reserve,upward,0.5,1802,3.51,3.420707711561636,2.0,2.0
2026-05-01,2026-05-01 11:00:00+00:00,NBR,Balancing Reserve,downward,0.5,2,0.0,0.0,0.0,0.0
2026-05-01,2026-05-01 11:00:00+00:00,NQR,Quick Reserve,downward,0.5,300,1.34,3.7708286118517274,0.0,0.0
2026-05-01,2026-05-01 11:00:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.029727928008471155,0.0,0.0
2026-05-01,2026-05-01 11:00:00+00:00,PBR,Balancing Reserve,upward,0.5,500,1.99,1.5875652280132746,2.4,2.4
2026-05-01,2026-05-01 11:00:00+00:00,PQR,Quick Reserve,upward,0.5,498,7.76,4.082729485068219,5.0,5.0
2026-05-01,2026-05-01 11:00:00+00:00,PSR,Slow Reserve,upward,0.5,1802,3.51,3.4051175908182425,2.0,2.0
2026-05-01,2026-05-01 11:30:00+00:00,NBR,Balancing Reserve,downward,0.5,0,0.0,0.0,0.0,0.0
2026-05-01,2026-05-01 11:30:00+00:00,NQR,Quick Reserve,downward,0.5,300,2.33,4.561030901111949,4.0,4.0
