settlement_date,scenario,forecast_selection_objective_gbp,realised_wholesale_margin_gbp,acceptance_calibrated_ancillary_gbp,acceptance_calibrated_total_gbp,stage11_perfect_information_total_gbp,reserve_aware_wholesale_only_gbp,offered_mw_hours,acceptance_calibrated_expected_accepted_mw_hours,price_eligible_offer_pct,mean_predicted_acceptance_pct,contract_rows,mean_reserve_corridor_width_mwh,baseline_forecast_wholesale_value_gbp
2026-05-19 00:00:00,non_bm,3935.904815426014,1549.511806919577,3496.4219124701835,5045.933719389761,11223.564510668117,1356.7048701012009,600.0,298.6508481576358,100.0,52.22345574486097,21,101.54883294480742,1871.770590053471
2026-05-19 00:00:00,bm_eligible,3971.7108406151383,1556.0083243042086,3109.358776087393,4665.3671003916015,11224.864510668129,1356.7048701012009,600.0,293.9587854056217,100.0,49.181735006873126,29,101.54883294480742,1871.770590053471
2026-05-20 00:00:00,non_bm,3808.778598300564,-458.0885215377191,3350.8977245896426,2892.809203051924,8998.984123486107,-952.7076711430112,600.0,298.78521723403384,100.0,52.30591485774665,21,104.1454994215067,1878.5939210580411
2026-05-20 00:00:00,bm_eligible,3827.724753952913,-596.3239150830117,3055.040998595822,2458.7170835128104,8999.114123486106,-952.7076711430112,596.0,296.17773460061784,100.0,51.292774952752126,28,104.1454994215067,1878.5939210580411
2026-05-21 00:00:00,non_bm,3298.356743506767,3166.918196322467,3818.8098517899434,6985.728048112409,13274.1680155899,3584.75042543186,600.0,297.22842674114645,100.0,52.87440360927577,22,104.84820382437675,1399.787343801824
2026-05-21 00:00:00,bm_eligible,3300.8948460927763,3166.9181963224614,3803.14972874868,6970.067925071142,13281.6680155899,3584.75042543186,600.0,294.6209475428482,100.0,52.50637204239358,22,104.84820382437675,1399.787343801824
2026-05-22 00:00:00,non_bm,3533.951998346417,2491.7062577925926,3410.1594762668697,5901.865734059462,11699.36960257675,2396.583011007361,574.5,281.37075956076905,100.0,50.77150394197072,18,105.97138308337613,1745.7078115563882
2026-05-22 00:00:00,bm_eligible,3537.2782130294245,2491.706257792592,3488.3248975071983,5980.03115529979,11701.069602576665,2396.583011007361,599.5,282.7851250710011,100.0,50.245170054011865,20,105.97138308337613,1745.7078115563882
2026-05-23 00:00:00,non_bm,3629.800817110297,2128.002168052971,3455.4712946617315,5583.473462714703,10081.61756567612,1511.434920902139,595.5,275.89490435960903,100.0,43.61115559747432,21,114.51743156147784,1932.7382559763744
2026-05-23 00:00:00,bm_eligible,3647.099829150394,2066.10216805297,3443.9537965596164,5510.055964612586,10082.517565676117,1511.434920902139,599.5,278.4841252779575,100.0,48.18092149974624,21,114.51743156147784,1932.7382559763744
2026-05-24 00:00:00,non_bm,3785.688724418001,1439.3305437572865,3713.9360282117527,5153.266571969039,12048.49514435016,1986.4426938460103,596.5,275.90054263283616,100.0,41.779597007583504,22,118.02712224301514,2004.6063502518768
2026-05-24 00:00:00,bm_eligible,3804.3149702923824,1487.6495661487538,3855.485508244593,5343.135074393347,12048.49514435016,1986.4426938460103,596.5,282.7168452766035,100.0,47.81095396977841,22,118.02712224301514,2004.6063502518768
2026-05-25 00:00:00,non_bm,3946.95496157717,3158.298550836136,3013.3663312325307,6171.664882068667,10696.936323070722,2878.2937183796485,600.0,272.56043868447205,100.0,40.20857854181367,21,116.66670663036724,2063.8650347160865
2026-05-25 00:00:00,bm_eligible,3986.306639099407,3300.001328613923,2973.7855879179933,6273.786916531916,10696.936323070728,2878.2937183796485,597.5,276.6946601042736,100.0,47.7354287905284,20,116.66670663036724,2063.8650347160865
