product,family,direction,delivery_start_utc,delivery_end_utc,window_hours,contracted_mw,clearing_price_gbp_per_mw_per_hour,energy_guard_hours,bm_required,raw_forecast_price_gbp_per_mw_per_hour,prior_same_window_price_gbp_per_mw_per_hour,capacity_selection_acceptance_prior,standalone_wholesale_opportunity_cost_gbp,opportunity_cost_bid_gbp_per_mw_per_hour,predicted_acceptance_ratio_at_bid_time,acceptance_lookup_level,acceptance_lookup_orders,opportunity_cost_bid_feasible,realised_clearing_price_gbp_per_mw_per_hour,realised_system_cleared_volume_mw,price_eligible_after_auction,acceptance_calibrated_expected_accepted_mw,acceptance_calibrated_availability_payment_gbp,settlement_date,scenario
NQR,Quick Reserve,downward,2026-05-15 20:30:00+00:00,2026-05-15T21:00:00+00:00,0.5,12.0,0.0370507722804043,1.0,False,0.4214423737713563,1.0,0.0879142074605562,0.0,0.0,0.3660242464560623,standalone_parent:product_margin_quantity,268,True,1.0,300,True,4.392290957472747,2.1961454787363737,2026-05-15,non_bm
PQR,Quick Reserve,upward,2026-05-15 20:30:00+00:00,2026-05-15T21:00:00+00:00,0.5,13.0,1.949598082136498,1.0,False,8.432708484439333,9.0,0.2311947680551323,0.0,0.0,0.5989761163562776,standalone_parent:product_margin_quantity,1552,True,9.18,487,True,7.786689512631608,35.74090486297908,2026-05-15,non_bm
PSR,Slow Reserve,upward,2026-05-15 21:00:00+00:00,2026-05-15T21:30:00+00:00,0.5,25.0,1.8191407813315776,1.0,False,3.357209381122113,2.89,0.5418609847693051,0.0,0.0,0.55535754449506,standalone_parent:product_margin_quantity,40443,True,4.48,1800,True,13.8839386123765,31.100022491723365,2026-05-15,non_bm
PQR,Quick Reserve,upward,2026-05-15 21:30:00+00:00,2026-05-15T22:00:00+00:00,0.5,25.0,1.8915901658123648,1.0,False,8.181803514521068,10.47,0.2311947680551323,0.0,0.0,0.5860966956151924,standalone_parent:product_margin_quantity,816,True,8.44,475,True,14.65241739037981,61.8332013874028,2026-05-15,non_bm
PSR,Slow Reserve,upward,2026-05-15 22:00:00+00:00,2026-05-15T22:30:00+00:00,0.5,25.0,1.5656628740085408,1.0,False,2.889417983609052,2.57,0.5418609847693051,0.0,0.0,0.55535754449506,standalone_parent:product_margin_quantity,40443,True,1.87,1801,True,13.8839386123765,12.98148260257203,2026-05-15,non_bm
PSR,Slow Reserve,upward,2026-05-15 22:30:00+00:00,2026-05-15T23:00:00+00:00,0.5,25.0,0.6544847840070025,1.0,False,1.207846297119263,2.14,0.5418609847693051,1.8189894035458565e-12,1.4551915228366852e-13,0.55535754449506,standalone_parent:product_margin_quantity,40443,True,1.37,1801,True,13.8839386123765,9.510497949477903,2026-05-15,non_bm
PSR,Slow Reserve,upward,2026-05-14 23:00:00+00:00,2026-05-14T23:30:00+00:00,0.5,25.0,0.6240596665902464,1.0,False,1.151696992644593,2.17,0.5418609847693051,0.0,0.0,0.55535754449506,standalone_parent:product_margin_quantity,40443,True,2.14,1800,True,13.8839386123765,14.855814315242856,2026-05-15,bm_eligible
PSR,Slow Reserve,upward,2026-05-14 23:30:00+00:00,2026-05-15T00:00:00+00:00,0.5,25.0,0.5818493440825168,1.0,False,1.0737981889030754,2.17,0.5418609847693051,0.0,0.0,0.55535754449506,standalone_parent:product_margin_quantity,40443,True,2.14,1800,True,13.8839386123765,14.855814315242856,2026-05-15,bm_eligible
PSR,Slow Reserve,upward,2026-05-15 00:00:00+00:00,2026-05-15T00:30:00+00:00,0.5,25.0,0.5022260430311034,1.0,False,0.9268540403308866,1.09,0.5418609847693051,0.0,0.0,0.651420115892579,standalone_parent:product_margin_quantity,11247,True,0.73,1798,True,16.285502897314473,5.944208557519782,2026-05-15,bm_eligible
PSR,Slow Reserve,upward,2026-05-15 00:30:00+00:00,2026-05-15T01:00:00+00:00,0.5,25.0,0.5578935386159304,1.0,False,1.0295879465347575,1.09,0.5418609847693051,0.0,0.0,0.651420115892579,standalone_parent:product_margin_quantity,11247,True,0.73,1798,True,16.285502897314473,5.944208557519782,2026-05-15,bm_eligible
PSR,Slow Reserve,upward,2026-05-15 01:00:00+00:00,2026-05-15T01:30:00+00:00,0.5,25.0,0.5404888970227141,1.0,False,0.997467823325248,1.09,0.5418609847693051,0.0,0.0,0.651420115892579,standalone_parent:product_margin_quantity,11247,True,0.73,1798,True,16.285502897314473,5.944208557519782,2026-05-15,bm_eligible
PSR,Slow Reserve,upward,2026-05-15 01:30:00+00:00,2026-05-15T02:00:00+00:00,0.5,25.0,0.5759784163604521,1.0,False,1.062963439978378,1.09,0.5418609847693051,0.0,0.0,0.651420115892579,standalone_parent:product_margin_quantity,11247,True,0.73,1798,True,16.285502897314473,5.944208557519782,2026-05-15,bm_eligible
DRL,Dynamic Regulation,upward,2026-05-15 02:00:00+00:00,2026-05-15T06:00:00+00:00,4.0,25.0,4.81896669794421,1.0,False,16.343073777949854,18.65,0.294862934807648,36.39466606365022,0.3639466606365022,0.4781843929077178,standalone_parent:product_margin_quantity,466,True,17.57,480,True,11.954609822692944,840.1699783388601,2026-05-15,bm_eligible
DRL,Dynamic Regulation,upward,2026-05-15 06:00:00+00:00,2026-05-15T10:00:00+00:00,4.0,4.0,4.631239319426067,1.0,False,15.70641397314731,17.6,0.294862934807648,9.813443722832744,0.6133402326770465,0.4738983688433393,standalone_parent:product_margin,1454,True,15.24,480,True,1.8955934753733572,115.55537825875987,2026-05-15,bm_eligible
NBR,Balancing Reserve,downward,2026-05-15 06:00:00+00:00,2026-05-15T06:30:00+00:00,0.5,21.0,0.025309908852555,0.5,True,0.1163171096838139,0.0,0.2175940317065589,0.0,0.0,0.2175940317065589,nonlooped_parent:product,3217,True,0.0,4,True,0.8703761268262357,0.0,2026-05-15,bm_eligible
NBR,Balancing Reserve,downward,2026-05-15 06:30:00+00:00,2026-05-15T07:00:00+00:00,0.5,21.0,0.0125629196569502,0.5,True,0.057735589337727,0.0,0.2175940317065589,0.0,0.0,0.2175940317065589,nonlooped_parent:product,3217,True,0.0,4,True,0.8703761268262357,0.0,2026-05-15,bm_eligible
NBR,Balancing Reserve,downward,2026-05-15 07:00:00+00:00,2026-05-15T07:30:00+00:00,0.5,21.0,0.0131722163979119,0.5,True,0.060535743074404,0.0,0.2175940317065589,0.0,0.0,0.2175940317065589,nonlooped_parent:product,3217,True,0.0,4,True,0.8703761268262357,0.0,2026-05-15,bm_eligible
NBR,Balancing Reserve,downward,2026-05-15 07:30:00+00:00,2026-05-15T08:00:00+00:00,0.5,19.0,0.0127750165093106,0.5,True,0.0587103258720748,0.0,0.2175940317065589,0.0,0.0,0.2175940317065589,nonlooped_parent:product,3217,True,0.0,4,True,0.8703761268262357,0.0,2026-05-15,bm_eligible
PBR,Balancing Reserve,upward,2026-05-15 07:30:00+00:00,2026-05-15T08:00:00+00:00,0.5,1.0,2.9706544400054904,0.5,True,5.762212073818287,8.76,0.5155406295271961,0.0,0.0,0.7835216873981026,standalone_parent:product_margin_quantity,182,True,2.56,598,True,0.7835216873981026,1.0029077598695713,2026-05-15,bm_eligible
PBR,Balancing Reserve,upward,2026-05-15 08:00:00+00:00,2026-05-15T08:30:00+00:00,0.5,21.0,2.294958870078992,0.5,True,4.45155772142286,5.58,0.5155406295271961,0.0,0.0,0.5678368013834959,standalone_parent:product_margin_quantity,728,True,2.4,594,True,11.924572829053414,14.309487394864096,2026-05-15,bm_eligible
PBR,Balancing Reserve,upward,2026-05-15 08:30:00+00:00,2026-05-15T09:00:00+00:00,0.5,21.0,2.166869661358393,0.5,True,4.203101632058828,1.01,0.5155406295271961,0.0,0.0,0.6883840047139721,standalone_parent:product_margin_quantity,1536,True,4.21,592,True,14.456064098993414,30.430014928381137,2026-05-15,bm_eligible
PBR,Balancing Reserve,upward,2026-05-15 09:00:00+00:00,2026-05-15T09:30:00+00:00,0.5,21.0,1.832012186128395,0.5,True,3.553574793529927,4.46,0.5155406295271961,0.0,0.0,0.5988766951675288,standalone_parent:product_margin_quantity,2107,True,2.4,594,True,12.576410598518104,15.091692718221726,2026-05-15,bm_eligible
PBR,Balancing Reserve,upward,2026-05-15 09:30:00+00:00,2026-05-15T10:00:00+00:00,0.5,21.0,1.7618768241381189,0.5,True,3.417532437266761,4.46,0.5155406295271961,0.0,0.0,0.5988766951675288,standalone_parent:product_margin_quantity,2107,True,2.4,594,True,12.576410598518104,15.091692718221726,2026-05-15,bm_eligible
DRL,Dynamic Regulation,upward,2026-05-15 10:00:00+00:00,2026-05-15T14:00:00+00:00,4.0,25.0,4.094859281243373,1.0,False,13.887331359279283,14.07,0.294862934807648,0.0,0.0,0.4781843929077178,standalone_parent:product_margin_quantity,466,True,13.03,480,True,11.954609822692944,623.0742639587562,2026-05-15,bm_eligible
DRL,Dynamic Regulation,upward,2026-05-15 14:00:00+00:00,2026-05-15T18:00:00+00:00,4.0,25.0,4.898825282873397,1.0,False,16.613906681994855,15.28,0.294862934807648,38.18754385464081,0.3818754385464081,0.4781843929077178,standalone_parent:product_margin_quantity,466,True,18.26,480,True,11.954609822692944,873.1647014494928,2026-05-15,bm_eligible
NQR,Quick Reserve,downward,2026-05-15 18:00:00+00:00,2026-05-15T18:30:00+00:00,0.5,20.0,0.0653894746182057,1.0,False,0.7437873411705781,1.8,0.0879142074605562,0.0,0.0,0.3660242464560623,standalone_parent:product_margin_quantity,268,True,1.0,300,True,7.320484929121246,3.660242464560623,2026-05-15,bm_eligible
NQR,Quick Reserve,downward,2026-05-15 18:30:00+00:00,2026-05-15T19:00:00+00:00,0.5,25.0,0.0487477612883735,1.0,False,0.5544924159186075,1.0,0.0879142074605562,0.0,0.0,0.3660242464560623,standalone_parent:product_margin_quantity,268,True,1.16,300,True,9.150606161401557,5.307351573612903,2026-05-15,bm_eligible
NQR,Quick Reserve,downward,2026-05-15 19:00:00+00:00,2026-05-15T19:30:00+00:00,0.5,25.0,0.018370800119048,1.0,False,0.208962813289198,1.0,0.0879142074605562,3.637978807091713e-12,2.9103830456733704e-13,0.4719198038459597,standalone_parent:product_margin_quantity,203,True,0.67,300,True,11.797995096148991,3.952328357209913,2026-05-15,bm_eligible
NQR,Quick Reserve,downward,2026-05-15 19:30:00+00:00,2026-05-15T20:00:00+00:00,0.5,25.0,0.0144745436597228,1.0,False,0.1646439645857815,1.0,0.0879142074605562,3.637978807091713e-12,2.9103830456733704e-13,0.4719198038459597,standalone_parent:product_margin_quantity,203,True,0.5,300,True,11.797995096148991,2.949498774037248,2026-05-15,bm_eligible
NQR,Quick Reserve,downward,2026-05-15 20:00:00+00:00,2026-05-15T20:30:00+00:00,0.5,25.0,0.0470629351941482,1.0,False,0.5353279811487073,1.0,0.0879142074605562,3.637978807091713e-12,2.9103830456733704e-13,0.4719198038459597,standalone_parent:product_margin_quantity,203,True,1.0,300,True,11.797995096148991,5.8989975480744965,2026-05-15,bm_eligible
NQR,Quick Reserve,downward,2026-05-15 20:30:00+00:00,2026-05-15T21:00:00+00:00,0.5,12.0,0.0370507722804043,1.0,False,0.4214423737713563,1.0,0.0879142074605562,0.0,0.0,0.3660242464560623,standalone_parent:product_margin_quantity,268,True,1.0,300,True,4.392290957472747,2.1961454787363737,2026-05-15,bm_eligible
PBR,Balancing Reserve,upward,2026-05-15 20:30:00+00:00,2026-05-15T21:00:00+00:00,0.5,13.0,2.116204240751128,0.5,True,4.104825341684331,2.74,0.5155406295271961,0.0,0.0,0.5988766951675288,standalone_parent:product_margin_quantity,2107,True,3.7,400,True,7.785397037177875,14.40298451877907,2026-05-15,bm_eligible
PSR,Slow Reserve,upward,2026-05-15 21:00:00+00:00,2026-05-15T21:30:00+00:00,0.5,25.0,1.8191407813315776,1.0,False,3.357209381122113,2.89,0.5418609847693051,0.0,0.0,0.55535754449506,standalone_parent:product_margin_quantity,40443,True,4.48,1800,True,13.8839386123765,31.100022491723365,2026-05-15,bm_eligible
PQR,Quick Reserve,upward,2026-05-15 21:30:00+00:00,2026-05-15T22:00:00+00:00,0.5,25.0,1.8915901658123648,1.0,False,8.181803514521068,10.47,0.2311947680551323,0.0,0.0,0.5860966956151924,standalone_parent:product_margin_quantity,816,True,8.44,475,True,14.65241739037981,61.8332013874028,2026-05-15,bm_eligible
PSR,Slow Reserve,upward,2026-05-15 22:00:00+00:00,2026-05-15T22:30:00+00:00,0.5,25.0,1.5656628740085408,1.0,False,2.889417983609052,2.57,0.5418609847693051,0.0,0.0,0.55535754449506,standalone_parent:product_margin_quantity,40443,True,1.87,1801,True,13.8839386123765,12.98148260257203,2026-05-15,bm_eligible
PSR,Slow Reserve,upward,2026-05-15 22:30:00+00:00,2026-05-15T23:00:00+00:00,0.5,25.0,0.6544847840070025,1.0,False,1.207846297119263,2.14,0.5418609847693051,1.8189894035458565e-12,1.4551915228366852e-13,0.55535754449506,standalone_parent:product_margin_quantity,40443,True,1.37,1801,True,13.8839386123765,9.510497949477903,2026-05-15,bm_eligible
PSR,Slow Reserve,upward,2026-05-15 23:30:00+00:00,2026-05-16T00:00:00+00:00,0.5,25.0,0.3382944132612251,1.0,False,0.6243195630799151,2.14,0.5418609847693051,0.0,0.0,0.55535754449506,standalone_parent:product_margin_quantity,40443,True,1.97,1802,True,13.8839386123765,13.675679533190852,2026-05-16,non_bm
