settlement_date,settlement_period,wind_share,actual_mw,old_lower_mw,old_upper_mw,new_lower_mw,new_upper_mw
2026-04-21,41,1.0,38.475923328658254,37.84198101824162,59.08113026525119,43.27104812126495,58.68999702745191
2026-04-21,42,1.0,38.475923328658254,38.05270080598167,59.172932613447706,43.320739305683944,59.24137790525818
2026-04-21,43,1.0,38.27333645005454,37.90132586987785,59.11365430119757,43.50678617385936,59.09000296915436
2026-04-21,44,1.0,39.31743805516596,36.02193583018389,57.02043516447895,42.06642473633024,57.771435532654145
2026-04-21,45,1.0,39.301854449119524,34.29934016794769,55.27850518359263,40.487443522643055,55.99770816098493
2026-04-21,46,1.0,38.91226429795855,32.920232305594354,52.22148895263672,38.9988354007711,54.583984307648315
2026-04-21,47,1.0,38.07074957145083,31.415090602778907,50.88621973991394,37.70514831617765,53.31895780680578
2026-04-21,48,1.0,37.68115942028985,30.523249754490315,49.31366820155653,36.28568768341265,51.84016923376876
2026-04-22,1,1.0,36.96431354215365,29.73324681240505,48.640959902745166,34.417963478440186,50.904039585968775
2026-04-22,2,1.0,36.66822502727131,29.382497319759782,48.29508787279882,34.06672048258402,50.41801457131723
2026-04-22,3,1.0,36.49680536076048,29.674875983776523,48.8074461862675,34.53635771317615,50.77170290381795
2026-04-22,4,1.0,36.29421848215677,28.794286436396522,47.545949393353816,33.256989822948604,49.33379072898198
2026-04-22,5,1.0,35.49945457378837,28.8078375523862,47.55950050934349,33.16623015083058,49.36762906939869
2026-04-22,6,1.0,34.56443821100202,28.860135312594586,47.63416632910059,33.31066412605031,49.095198554313654
2026-04-22,7,1.0,33.89434315100514,28.47452902368468,47.16220003815806,32.90799087286309,48.68930504097671
2026-04-22,8,1.0,33.06841203054387,28.497801012354767,47.17969581384943,32.864233058693095,48.59406602230328
2026-04-22,9,1.0,32.89699236403304,27.395488040720796,44.6056276821491,30.74860241285875,46.72287430856719
2026-04-22,10,1.0,32.75673990961508,26.451385937525462,43.291078804299346,29.82213724873327,45.47423021198091
2026-04-22,11,1.0,33.00607760635811,26.406060979153406,43.47191554306132,29.8043502977649,45.56605695831655
2026-04-22,12,1.0,33.56708742402992,26.8997990343826,44.375047119250446,30.0126110632578,46.05979501354574
2026-04-22,13,1.0,32.834657939847276,27.26693980434109,44.8688132462269,30.34585215180423,46.3796445807983
2026-04-22,14,1.0,32.69440548542933,27.81014426978407,45.21337692354291,29.9240214875867,47.06114526513453
2026-04-22,15,1.0,31.60355306217858,27.56650289614958,45.309764172970944,30.337332228268398,47.0628264111726
2026-04-22,16,1.0,31.86847436496805,27.362475381084028,44.62657524100802,29.57836029000732,46.30736489581756
2026-04-22,17,1.0,32.03989403147888,25.78579458979595,43.55970985173844,27.574522975924907,44.19428720764237
2026-04-22,18,1.0,33.31774972728689,26.03999671905197,43.11779727637678,27.78763951515827,44.405361480528036
2026-04-22,19,1.0,33.676172666354994,25.692540142812607,43.470016719173955,27.24883983375324,43.8928650600103
2026-04-22,20,1.0,34.56443821100202,26.485612318302888,43.60483334418191,28.566299332506613,45.43095260347365
2026-04-22,21,1.0,34.25276609007324,27.45020661594431,45.444361388665264,30.21272730650565,47.27655590722219
2026-04-22,22,1.0,35.34361851332398,29.6299020467366,48.641756961932515,33.04119820110216,50.339574840631094
2026-04-22,23,1.0,35.62412342215988,30.000454434933122,48.78100156784057,33.19705390883816,50.54569210922099
2026-04-22,24,1.0,36.93314633006078,30.09731524051264,48.89557902429669,33.461960269878475,50.631120534229865
2026-04-22,25,1.0,36.325385694249654,31.63131567661668,51.17866229079833,35.434763036176484,52.71701929517889
2026-04-22,26,1.0,37.74349384447561,32.07536496846848,51.75879234760112,36.35267913782434,53.53596029230261
2026-04-22,27,1.0,38.678510207261965,32.63394415415724,52.03382152158349,36.81876290187007,53.867698883496764
2026-04-22,28,1.0,40.87579865980988,32.510989137633636,51.96261781293481,36.73519115405393,53.79649517484808
2026-04-22,29,1.0,42.58999532491818,33.5519366654834,53.62218991846812,37.51164679512341,54.715235208951476
2026-04-22,30,1.0,44.8652018076983,33.67286881256906,53.735848572537684,37.53598769506484,54.77759643899341
2026-04-22,31,1.0,44.46002805049088,32.28948789764598,51.94894904582805,36.45222894099279,52.5056730828535
2026-04-22,32,1.0,45.05220508025557,31.384573024653907,51.06988679431548,35.31289660764954,51.27438883039399
2026-04-22,33,1.0,44.195106747701416,31.40220666843837,50.396938433872364,34.69447589220265,50.35869356585974
2026-04-22,34,1.0,42.69908056724326,30.13556950152948,49.054913850325796,33.52749999830455,49.92229306706496
2026-04-22,35,1.0,40.17453638772011,28.64735800679294,47.39902096375023,31.76067596861396,47.130498608765784
2026-04-22,36,1.0,38.35125448028674,28.648329562502777,47.39999251946007,31.88936184414229,47.125753810739816
2026-04-22,37,1.0,36.93314633006078,28.23562807191174,46.77263004037058,31.39227753242061,46.62322314628985
2026-04-22,38,1.0,35.79554308867071,27.89203769829357,45.921378134057036,31.00887065490291,46.29754405991771
2026-04-22,39,1.0,34.782608695652165,28.44367718351061,46.822182594592945,31.75161523521735,47.52901073759082
2026-04-22,40,1.0,35.01636278634876,27.255164906765717,44.914372138568496,29.39982774493522,45.32306985396593
2026-04-22,41,1.0,33.76967430263363,26.85491142242111,44.0211798047211,30.18708843245906,46.03710420930257
2026-04-22,42,1.0,34.7514414835593,26.449742243077058,43.41410875158024,29.77575975909633,45.85020979770365
2026-04-22,43,1.0,33.302166121240454,26.1388927456633,43.17852245779641,29.131644464996693,45.08485350578732
2026-04-22,44,1.0,32.56973663705781,21.827926879288057,38.19534683223931,25.241533313494752,41.807441079315026
2026-04-22,45,1.0,30.964625214274584,20.737401684089164,36.30004495507704,24.0642029394064,40.11913385130929
2026-04-22,46,1.0,30.2166121240455,20.03924444826365,35.0559493023231,22.98046460082115,39.01562239863442
2026-04-22,47,1.0,29.780271154745208,19.0630705627452,33.39423890587348,21.52854278015943,37.43095878256027
2026-04-22,48,1.0,29.00109085242325,18.846128128024613,32.966609801461395,21.31594528279586,36.96520635521224
2026-04-23,1,1.0,27.50506467196509,17.60612679095363,29.704470568140167,17.95835765267095,30.357612523648918
2026-04-23,2,1.0,26.554464703132304,17.40352419418456,28.93100309076,17.527752696834508,29.703870948638222
2026-04-23,3,1.0,25.229858189184977,15.81494137842149,27.30907476963572,16.32219626948044,27.403481715111138
2026-04-23,4,1.0,24.06108773570204,17.10917875368089,28.5668500388098,16.926834361168698,28.070339905086676
2026-04-23,5,1.0,23.00140252454418,17.1778282265103,28.77026028456263,17.02576832283422,27.325595739577768
2026-04-23,6,1.0,21.224871435250108,16.73467842467536,28.27007761319441,17.0595305202332,27.62133663371887
2026-04-23,7,1.0,20.67944522362474,15.9352461284953,27.450267252346762,16.438413124381988,25.89529377108309
2026-04-23,8,1.0,19.44834034595605,15.327172671706379,27.323374213023545,15.890433352291081,24.82504346729874
2026-04-23,9,1.0,18.902914134330683,15.934189636166659,27.449210760018122,16.2410367955895,26.774623117496986
2026-04-23,10,1.0,18.186068256194478,15.38941482201308,27.248838094790372,15.95267550259778,25.39036806025406
2026-04-23,11,1.0,17.96789777154433,15.293943082244098,27.290144623561265,15.51629838327417,24.80636407927161
