settlement_date,evaluation_segment,perfect_foresight_margin_gbp,forecast_strategy_margin_gbp,naive_strategy_margin_gbp,reserve_aware_forecast_margin_gbp,reserve_corridor_feasible,mean_reserve_corridor_width_mwh
2025-07-08,development_oof,3973.732963536946,3338.1143155011605,2473.0437583026783,2862.0356375362117,True,108.47236245463755
2025-07-09,development_oof,1961.2290592983675,1019.6996614711643,872.0624430604967,926.9328048711782,True,113.06320227356332
2025-07-10,development_oof,2232.682755492466,1219.8378591494657,1527.7844063229816,1182.845671614999,True,115.02616053335112
2025-07-11,development_oof,2711.365578387267,2673.3482825384926,1346.8998442293564,2021.1211300092814,True,115.18301412679602
2025-07-12,development_oof,3665.3049894151573,3389.0075065695764,3334.1281943935196,2550.7891730745755,True,112.62889044029764
2025-07-13,development_oof,3728.2030571162527,2705.734925906081,2711.855744214381,1866.6559771743946,True,113.82198589791606
2025-07-14,development_oof,2206.488226188369,587.0191988461229,-294.90228193828943,-190.62165418210702,True,102.41070712780338
2025-07-15,development_oof,3721.7604892083714,3204.662348103529,2194.2771254191434,2406.908718148761,True,103.28648320146999
2025-07-16,development_oof,3145.609235081166,1351.9456456675885,-96.84218580362403,1104.961217795857,True,113.25339774480487
2025-07-17,development_oof,1123.4583333333364,702.5298425068703,280.15775673010535,593.1873770111067,True,117.68522036290524
2025-07-18,development_oof,885.0608318935888,31.651378932674447,-325.91666666666356,139.90452322856754,True,114.84681108179011
2025-07-19,development_oof,1195.9722222222254,241.73871158518295,-207.7320088245719,-1.9301398501341396,True,121.51853163954172
2025-07-20,development_oof,1430.7248150715739,-1636.4740493835288,-214.9583333333294,-784.6136437351458,True,112.87194300885756
2025-07-21,development_oof,793.3698098398918,-489.3295787201987,-1211.206633493069,-470.5317982246756,True,117.79465771981131
2025-07-22,development_oof,1458.6833592471833,-1302.4196393895581,669.5797116166877,-929.850916384714,True,111.69600149297317
2025-07-23,development_oof,2489.0879796574472,715.8030027729691,493.9780245102786,465.67908030114506,True,114.96942323962986
2025-07-24,development_oof,542.1315233471344,122.87313563020501,-338.5979655856984,69.09044238937577,True,117.85041021860017
2025-07-25,development_oof,1748.1426213588834,1393.2342893639761,730.8910819522573,1050.7340441256351,True,112.93548973604986
2025-07-26,development_oof,822.9250000000028,-1628.8128386497792,-2219.262874905515,-1200.214530091414,True,113.8612580199216
2025-07-27,development_oof,673.659622518958,-1459.3898898535222,-232.97499999999502,-1306.1986916565836,True,110.18262532393716
2025-07-28,development_oof,956.7817001442302,-856.0775688006935,-77.30980067462832,-812.2871394716428,True,111.37818546918281
2025-07-29,development_oof,2405.7781042406414,1061.0719299053367,954.0015597450431,1034.075772173242,True,120.83535805022746
2025-07-30,development_oof,1289.3066879169921,392.79735236122895,865.008966185366,303.5025547716425,True,115.7692033838158
2025-07-31,development_oof,2545.008457145731,1809.9893313781636,1703.9491296608278,1538.2004780232442,True,111.64459730833637
2025-08-01,development_oof,3704.485538623945,2571.158497883036,162.34301141305764,2114.0147479327443,True,110.46009673230981
2025-08-02,development_oof,6242.404714008655,4652.0372472432555,3623.714569734764,3590.8723540465703,True,112.66989964877173
2025-08-03,development_oof,9926.600106574138,5987.454559210924,7877.287639076647,3698.726530519136,True,105.93111881517159
2025-08-04,development_oof,10935.870953473133,6089.507313630756,4362.850680014063,5266.898604600924,True,88.51905102648549
2025-08-05,development_oof,7140.088485936932,3651.180320054552,2734.991925361684,3029.0554770068115,True,87.2918231765707
2025-08-11,development_oof,4825.553760614552,2016.1448334424017,-328.257909095542,1841.6876783832563,True,117.29003607891677
2025-08-12,development_oof,3295.7056952651114,753.8381063912548,975.1687473130766,700.8677281942616,True,114.73155412736469
2025-08-13,development_oof,1829.4375,771.0316742102258,1175.769763607785,913.3107670772844,True,115.07709901870923
2025-08-14,development_oof,2110.521153003287,1897.2997512585316,863.6875,1554.990938382069,True,113.85947201991043
2025-08-15,development_oof,1701.8899355790236,1587.7154170008744,1319.6673602692267,1438.5755278074325,True,116.10288469661826
