product,margin_bin,quantity_bin,orders,accepted_fraction_sum,sample_class,source_month
DMH,-10:-5,5:10,12,3.0,nonlooped_parent,202604
DMH,-10:-5,>25,135,40.0,nonlooped_parent,202604
DMH,-1:-0.5,0:1,1,0.0,nonlooped_parent,202604
DMH,-1:-0.5,10:25,139,32.0,nonlooped_parent,202604
DMH,-1:-0.5,1:5,8,2.0,nonlooped_parent,202604
DMH,-1:-0.5,5:10,12,2.0,nonlooped_parent,202604
DMH,-1:-0.5,>25,183,50.0,nonlooped_parent,202604
DMH,-2:-1,10:25,192,55.0,nonlooped_parent,202604
DMH,-2:-1,1:5,20,9.0,nonlooped_parent,202604
DMH,-2:-1,5:10,29,6.0,nonlooped_parent,202604
DMH,-2:-1,>25,283,76.0,nonlooped_parent,202604
DMH,-5:-2,0:1,6,4.0,nonlooped_parent,202604
DMH,-5:-2,10:25,326,75.0,nonlooped_parent,202604
DMH,-5:-2,1:5,34,13.0,nonlooped_parent,202604
DMH,-5:-2,5:10,52,18.0,nonlooped_parent,202604
DMH,-5:-2,>25,358,110.0,nonlooped_parent,202604
DMH,0.5:1,10:25,169,48.0,nonlooped_parent,202604
DMH,0.5:1,1:5,18,7.0,nonlooped_parent,202604
DMH,0.5:1,5:10,22,3.0,nonlooped_parent,202604
DMH,0.5:1,>25,248,67.0,nonlooped_parent,202604
DMH,0:0.5,0:1,1,0.0,nonlooped_parent,202604
DMH,0:0.5,10:25,129,30.0,nonlooped_parent,202604
DMH,0:0.5,1:5,14,5.0,nonlooped_parent,202604
DMH,0:0.5,5:10,25,6.0,nonlooped_parent,202604
DMH,0:0.5,>25,229,78.0,nonlooped_parent,202604
DMH,1:2,0:1,2,1.0,nonlooped_parent,202604
DMH,1:2,10:25,384,116.0,nonlooped_parent,202604
DMH,1:2,1:5,35,8.0,nonlooped_parent,202604
DMH,1:2,5:10,59,17.0,nonlooped_parent,202604
DMH,1:2,>25,600,175.0,nonlooped_parent,202604
DMH,2:5,0:1,3,2.0,nonlooped_parent,202604
DMH,2:5,10:25,1081,250.0,nonlooped_parent,202604
DMH,2:5,1:5,82,9.0,nonlooped_parent,202604
DMH,2:5,5:10,147,15.0,nonlooped_parent,202604
DMH,2:5,>25,1733,486.0,nonlooped_parent,202604
DMH,<-10,0:1,2,1.0,nonlooped_parent,202604
DMH,<-10,10:25,30,10.0,nonlooped_parent,202604
DMH,<-10,1:5,2,0.0,nonlooped_parent,202604
DMH,<-10,5:10,4,1.0,nonlooped_parent,202604
DMH,<-10,>25,36,5.0,nonlooped_parent,202604
DMH,>5,0:1,1,0.0,nonlooped_parent,202604
DMH,>5,10:25,723,90.0,nonlooped_parent,202604
DMH,>5,1:5,64,7.0,nonlooped_parent,202604
DMH,>5,5:10,103,5.0,nonlooped_parent,202604
DMH,>5,>25,693,130.0,nonlooped_parent,202604
DML,-0.5:0,0:1,43,3.0,nonlooped_parent,202604
DML,-0.5:0,10:25,221,20.0,nonlooped_parent,202604
DML,-0.5:0,1:5,3,1.0,nonlooped_parent,202604
DML,-0.5:0,5:10,47,7.0,nonlooped_parent,202604
DML,-0.5:0,>25,216,39.0,nonlooped_parent,202604
DML,-10:-5,0:1,119,24.0,nonlooped_parent,202604
DML,-10:-5,10:25,1457,273.0,nonlooped_parent,202604
DML,-10:-5,1:5,61,29.0,nonlooped_parent,202604
DML,-10:-5,5:10,286,31.0,nonlooped_parent,202604
DML,-10:-5,>25,2080,438.0,nonlooped_parent,202604
