auction_id,product,family,direction,delivery_start_utc,delivery_end_utc,window_hours,cleared_volume_mw,clearing_price_gbp_per_mw_per_hour,minimum_mw,whole_mw,bm_required,response_seconds,energy_guard_hours
1112,PQR,Quick Reserve,upward,2025-04-01 18:00:00+00:00,2025-04-01 18:30:00+00:00,0.5,247,26.65,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 18:30:00+00:00,2025-04-01 19:00:00+00:00,0.5,300,1.0,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 18:30:00+00:00,2025-04-01 19:00:00+00:00,0.5,166,22.85,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 19:00:00+00:00,2025-04-01 19:30:00+00:00,0.5,300,1.0,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 19:00:00+00:00,2025-04-01 19:30:00+00:00,0.5,190,22.85,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 19:30:00+00:00,2025-04-01 20:00:00+00:00,0.5,285,3.94,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 19:30:00+00:00,2025-04-01 20:00:00+00:00,0.5,250,11.63,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 20:00:00+00:00,2025-04-01 20:30:00+00:00,0.5,300,2.25,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 20:00:00+00:00,2025-04-01 20:30:00+00:00,0.5,237,19.58,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 20:30:00+00:00,2025-04-01 21:00:00+00:00,0.5,300,2.25,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 20:30:00+00:00,2025-04-01 21:00:00+00:00,0.5,243,19.58,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 21:00:00+00:00,2025-04-01 21:30:00+00:00,0.5,300,5.91,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 21:00:00+00:00,2025-04-01 21:30:00+00:00,0.5,245,13.3,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 21:30:00+00:00,2025-04-01 22:00:00+00:00,0.5,300,3.94,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 21:30:00+00:00,2025-04-01 22:00:00+00:00,0.5,235,16.42,1,True,False,60.0,1.0
1114,DCH,Dynamic Containment,downward,2025-04-01 22:00:00+00:00,2025-04-02 02:00:00+00:00,4.0,1285,3.5,1,True,False,1.0,0.25
1114,DCL,Dynamic Containment,upward,2025-04-01 22:00:00+00:00,2025-04-02 02:00:00+00:00,4.0,1378,3.54,1,True,False,1.0,0.25
1114,DMH,Dynamic Moderation,downward,2025-04-01 22:00:00+00:00,2025-04-02 02:00:00+00:00,4.0,300,5.69,1,True,False,1.0,0.5
1114,DML,Dynamic Moderation,upward,2025-04-01 22:00:00+00:00,2025-04-02 02:00:00+00:00,4.0,300,5.69,1,True,False,1.0,0.5
1114,DRH,Dynamic Regulation,downward,2025-04-01 22:00:00+00:00,2025-04-02 02:00:00+00:00,4.0,500,-0.26,1,True,False,10.0,1.0
1114,DRL,Dynamic Regulation,upward,2025-04-01 22:00:00+00:00,2025-04-02 02:00:00+00:00,4.0,473,11.49,1,True,False,10.0,1.0
1114,NQR,Quick Reserve,downward,2025-04-01 22:00:00+00:00,2025-04-01 22:30:00+00:00,0.5,232,6.69,1,True,False,60.0,1.0
1114,PQR,Quick Reserve,upward,2025-04-01 22:00:00+00:00,2025-04-01 22:30:00+00:00,0.5,250,15.01,1,True,False,60.0,1.0
1114,NQR,Quick Reserve,downward,2025-04-01 22:30:00+00:00,2025-04-01 23:00:00+00:00,0.5,163,10.75,1,True,False,60.0,1.0
1114,PQR,Quick Reserve,upward,2025-04-01 22:30:00+00:00,2025-04-01 23:00:00+00:00,0.5,300,2.62,1,True,False,60.0,1.0
1114,NQR,Quick Reserve,downward,2025-04-01 23:00:00+00:00,2025-04-01 23:30:00+00:00,0.5,112,10.67,1,True,False,60.0,1.0
1114,PQR,Quick Reserve,upward,2025-04-01 23:00:00+00:00,2025-04-01 23:30:00+00:00,0.5,300,1.0,1,True,False,60.0,1.0
1114,NQR,Quick Reserve,downward,2025-04-01 23:30:00+00:00,2025-04-02 00:00:00+00:00,0.5,102,10.75,1,True,False,60.0,1.0
1114,PQR,Quick Reserve,upward,2025-04-01 23:30:00+00:00,2025-04-02 00:00:00+00:00,0.5,300,1.0,1,True,False,60.0,1.0
1114,NQR,Quick Reserve,downward,2025-04-02 00:00:00+00:00,2025-04-02 00:30:00+00:00,0.5,177,12.12,1,True,False,60.0,1.0
1114,PQR,Quick Reserve,upward,2025-04-02 00:00:00+00:00,2025-04-02 00:30:00+00:00,0.5,300,1.0,1,True,False,60.0,1.0
1114,NQR,Quick Reserve,downward,2025-04-02 00:30:00+00:00,2025-04-02 01:00:00+00:00,0.5,96,7.92,1,True,False,60.0,1.0
1114,PQR,Quick Reserve,upward,2025-04-02 00:30:00+00:00,2025-04-02 01:00:00+00:00,0.5,300,1.0,1,True,False,60.0,1.0
1114,NQR,Quick Reserve,downward,2025-04-02 01:00:00+00:00,2025-04-02 01:30:00+00:00,0.5,125,10.75,1,True,False,60.0,1.0
1114,PQR,Quick Reserve,upward,2025-04-02 01:00:00+00:00,2025-04-02 01:30:00+00:00,0.5,300,1.0,1,True,False,60.0,1.0
1114,NQR,Quick Reserve,downward,2025-04-02 01:30:00+00:00,2025-04-02 02:00:00+00:00,0.5,104,9.45,1,True,False,60.0,1.0
1114,PQR,Quick Reserve,upward,2025-04-02 01:30:00+00:00,2025-04-02 02:00:00+00:00,0.5,300,1.0,1,True,False,60.0,1.0
1114,DCH,Dynamic Containment,downward,2025-04-02 02:00:00+00:00,2025-04-02 06:00:00+00:00,4.0,1306,5.69,1,True,False,1.0,0.25
1114,DCL,Dynamic Containment,upward,2025-04-02 02:00:00+00:00,2025-04-02 06:00:00+00:00,4.0,1285,2.55,1,True,False,1.0,0.25
1114,DMH,Dynamic Moderation,downward,2025-04-02 02:00:00+00:00,2025-04-02 06:00:00+00:00,4.0,300,5.69,1,True,False,1.0,0.5
