gsp_group,month,day_class,settlement_period,mean_daily_energy_share,observations
_L,12,saturday,2,0.021651205287211248,4
_L,12,saturday,3,0.021439412896812806,4
_L,12,saturday,4,0.020559806802287136,4
_L,12,saturday,5,0.020143998648525428,4
_L,12,saturday,6,0.019511236160105336,4
_L,12,saturday,7,0.018815105319162674,4
_L,12,saturday,8,0.01803745250045275,4
_L,12,saturday,9,0.017460757014680806,4
_L,12,saturday,10,0.017244506276367304,4
_L,12,saturday,11,0.016988411456187024,4
_L,12,saturday,12,0.016733603161604247,4
_L,12,saturday,13,0.017760800441779252,4
_L,12,saturday,14,0.018486076759410087,4
_L,12,saturday,15,0.019293973254182195,4
_L,12,saturday,16,0.020050192095429322,4
_L,12,saturday,17,0.021541974661446812,4
_L,12,saturday,18,0.021994950664331613,4
_L,12,saturday,19,0.021548815672383217,4
_L,12,saturday,20,0.020669237929940187,4
_L,12,saturday,21,0.019391266332164862,4
_L,12,saturday,22,0.018063068613526946,4
_L,12,saturday,23,0.016901511784675652,4
_L,12,saturday,24,0.01639092148381662,4
_L,12,saturday,25,0.016425829228777795,4
_L,12,saturday,26,0.016738086469995684,4
_L,12,saturday,27,0.01726877544311519,4
_L,12,saturday,28,0.018209610699563006,4
_L,12,saturday,29,0.019487572950090938,4
_L,12,saturday,30,0.02090355715126503,4
_L,12,saturday,31,0.022481446068294057,4
_L,12,saturday,32,0.023954270675355997,4
_L,12,saturday,33,0.025597094714210317,4
_L,12,saturday,34,0.026927542300717495,4
_L,12,saturday,35,0.02835995359560264,4
_L,12,saturday,36,0.02826551806920799,4
_L,12,saturday,37,0.027694360270729364,4
_L,12,saturday,38,0.02720523088365197,4
_L,12,saturday,39,0.026271720097008747,4
_L,12,saturday,40,0.025335237308704368,4
_L,12,saturday,41,0.024468700394421332,4
_L,12,saturday,42,0.02353504375772363,4
_L,12,saturday,43,0.02248772698756628,4
_L,12,saturday,44,0.02146235483613145,4
_L,12,saturday,45,0.020199793367672192,4
_L,12,saturday,46,0.019372497803846374,4
_L,12,saturday,47,0.018340982684544843,4
_L,12,saturday,48,0.017938124606189987,4
_L,12,sunday,1,0.01908550186284156,4
_L,12,sunday,2,0.020327746565001713,4
_L,12,sunday,3,0.02001884344948584,4
_L,12,sunday,4,0.019361776543978474,4
_L,12,sunday,5,0.018822242830285794,4
_L,12,sunday,6,0.01829645897421765,4
_L,12,sunday,7,0.017624185389236616,4
_L,12,sunday,8,0.016814001104946973,4
_L,12,sunday,9,0.016196880896022087,4
_L,12,sunday,10,0.015536638970984045,4
_L,12,sunday,11,0.015346780097802219,4
_L,12,sunday,12,0.015115188062576942,4
_L,12,sunday,13,0.015897671501422933,4
_L,12,sunday,14,0.016444485171906748,4
_L,12,sunday,15,0.017059763741742277,4
_L,12,sunday,16,0.017617694710635942,4
_L,12,sunday,17,0.01898594540230288,4
_L,12,sunday,18,0.019829275112339187,4
_L,12,sunday,19,0.020695176666641932,4
_L,12,sunday,20,0.020968346300522033,4
_L,12,sunday,21,0.021244524322206505,4
_L,12,sunday,22,0.021186547835398722,4
_L,12,sunday,23,0.0214217472610738,4
_L,12,sunday,24,0.02144773675814352,4
_L,12,sunday,25,0.021988804781190197,4
_L,12,sunday,26,0.022310143137324073,4
_L,12,sunday,27,0.022494204002102024,4
_L,12,sunday,28,0.022318010365595997,4
_L,12,sunday,29,0.02222511579563973,4
_L,12,sunday,30,0.02275793308925003,4
_L,12,sunday,31,0.023586777122800585,4
_L,12,sunday,32,0.02443398310929372,4
_L,12,sunday,33,0.025959691015336257,4
_L,12,sunday,34,0.027300950805104997,4
_L,12,sunday,35,0.028222524362935087,4
_L,12,sunday,36,0.028086544588765514,4
_L,12,sunday,37,0.02757097981433687,4
_L,12,sunday,38,0.02669979136032142,4
_L,12,sunday,39,0.025731677010701344,4
_L,12,sunday,40,0.02459001217898321,4
_L,12,sunday,41,0.023581596056841125,4
_L,12,sunday,42,0.02269662812608716,4
_L,12,sunday,43,0.021602025207235996,4
_L,12,sunday,44,0.020368258805561194,4
_L,12,sunday,45,0.018978552708899615,4
_L,12,sunday,46,0.01801019220264203,4
_L,12,sunday,47,0.016788407213252234,4
_L,12,sunday,48,0.016352037608083153,4
_L,12,weekday,1,0.017886984327441412,23
_L,12,weekday,2,0.019083947436515755,23
_L,12,weekday,3,0.018800649328015978,23
_L,12,weekday,4,0.018196688336040438,23
_L,12,weekday,5,0.017740820950470873,23
_L,12,weekday,6,0.017372788825395932,23
_L,12,weekday,7,0.016794325316211257,23
_L,12,weekday,8,0.016219914336090064,23
_L,12,weekday,9,0.01566463629669108,23
_L,12,weekday,10,0.015402555133664248,23
_L,12,weekday,11,0.015337909776880631,23
_L,12,weekday,12,0.015657933193077067,23
_L,12,weekday,13,0.017328546208023397,23
_L,12,weekday,14,0.018933181048821194,23
