bmUnit,settlementDate,settlementPeriod,pair_count,bid_mean,offer_mean,spread,accepted,accepted_up,accepted_down
V__MCEND001,2026-08-31,14,2,95.0,127.5,32.5,0,0,0
V__MCEND001,2026-08-31,15,2,55.0,107.5,52.5,0,0,0
V__MCEND001,2026-08-31,16,2,55.0,107.5,52.5,0,0,0
V__MCEND001,2026-08-31,17,2,55.0,107.5,52.5,1,0,1
V__MCEND001,2026-08-31,18,2,53.57,106.785,53.214999999999996,1,1,1
V__MCEND001,2026-08-31,19,2,-3.0,52.0,55.0,1,0,0
V__MCEND001,2026-08-31,20,2,37.0,52.0,15.0,1,1,1
V__MCEND001,2026-08-31,21,2,37.0,52.0,15.0,1,1,1
V__MCEND001,2026-08-31,22,2,37.0,52.0,15.0,1,0,1
V__MCEND001,2026-08-31,23,2,29.82,44.82,15.0,0,0,0
V__MCEND001,2026-08-31,24,2,49.365,64.36500000000001,15.000000000000007,0,0,0
V__MCEND001,2026-08-31,25,2,52.17,67.17,15.0,0,0,0
V__MCEND001,2026-08-31,26,2,56.575,71.575,15.0,1,1,1
V__MCEND001,2026-08-31,27,2,59.71,74.71000000000001,15.000000000000007,1,1,1
V__MCEND001,2026-08-31,28,1,93.56,108.56,15.0,1,1,1
V__MCEND001,2026-08-31,29,1,148.11,163.11,15.0,1,0,1
V__MCEND001,2026-08-31,30,1,170.49,185.49,15.0,0,0,0
V__MCEND001,2026-08-31,31,2,137.235,152.235,15.0,1,0,1
V__MCEND001,2026-08-31,32,2,137.55,152.55,15.0,1,1,1
V__MCEND001,2026-08-31,33,2,137.425,152.425,15.0,1,1,0
V__MCEND001,2026-08-31,34,2,142.275,157.275,15.0,1,1,1
V__MCEND001,2026-08-31,35,1,160.0,175.0,15.0,1,0,0
V__MCEND001,2026-08-31,36,2,150.75,165.75,15.0,1,1,1
V__MCEND001,2026-08-31,37,2,153.26,168.26,15.0,0,0,0
V__MCEND001,2026-08-31,38,2,120.0,155.0,35.0,1,1,1
V__MCEND001,2026-08-31,39,2,120.0,157.5,37.5,1,0,0
V__MCEND001,2026-08-31,40,2,120.0,157.5,37.5,1,1,1
V__MCEND001,2026-08-31,41,2,118.78,156.89,38.109999999999985,1,0,0
V__MCEND001,2026-08-31,42,2,140.0,155.0,15.0,0,0,0
V__MCEND001,2026-08-31,43,2,110.0,152.5,42.5,1,1,1
V__MCEND001,2026-08-31,44,2,138.0,153.0,15.0,0,0,0
V__MCEND001,2026-08-31,45,2,137.5,152.5,15.0,0,0,0
V__MCEND001,2026-08-31,46,2,137.5,152.5,15.0,1,1,1
V__MCEND001,2026-08-31,47,2,133.25,148.25,15.0,1,1,1
V__MCEND001,2026-08-31,48,2,133.215,148.215,15.0,1,1,1
V__MCEND001,2026-09-01,1,2,132.075,147.075,15.0,1,1,0
V__MCEND001,2026-09-01,2,2,132.195,147.195,15.0,1,1,1
V__MCEND001,2026-09-01,3,2,131.81,146.81,15.0,1,1,1
V__MCEND001,2026-09-01,4,2,132.275,147.275,15.0,1,1,1
V__MCEND001,2026-09-01,5,2,125.765,133.265,7.499999999999986,1,1,1
V__MCEND001,2026-09-01,6,2,125.0,132.5,7.5,1,1,0
V__MCEND001,2026-09-01,7,2,127.5,142.5,15.0,1,0,1
V__MCEND001,2026-09-01,8,2,127.5,135.0,7.5,1,0,0
V__MCEND001,2026-09-01,9,2,127.5,135.0,7.5,0,0,0
V__MCEND001,2026-09-01,10,2,132.11,139.61,7.5,0,0,0
V__MCEND001,2026-09-01,11,2,136.595,151.595,15.0,1,1,1
V__MCEND001,2026-09-01,12,2,105.0,142.5,37.5,1,1,1
V__MCEND001,2026-09-01,13,1,105.0,120.0,15.0,1,1,1
V__MCEND001,2026-09-01,14,1,105.0,120.0,15.0,1,1,1
V__MCEND001,2026-09-01,15,2,86.72,148.36,61.640000000000015,1,1,1
V__MCEND001,2026-09-01,16,2,126.25999999999999,141.26,15.0,0,0,0
V__MCEND001,2026-09-01,17,1,82.81,97.81,15.0,0,0,0
V__MCEND001,2026-09-01,18,2,92.5,107.5,15.0,0,0,0
V__MCEND001,2026-09-01,19,2,92.5,107.5,15.0,0,0,0
V__MCEND001,2026-09-01,20,1,50.0,65.0,15.0,1,1,1
V__MCEND001,2026-09-01,21,2,85.76,100.76,15.0,1,1,1
V__MCEND001,2026-09-01,22,2,87.96000000000001,102.96000000000001,15.0,1,1,0
V__MCEND001,2026-09-01,23,2,64.66,79.66,15.0,0,0,0
V__MCEND001,2026-09-01,24,1,95.0,110.0,15.0,0,0,0
V__MCEND001,2026-09-01,25,2,60.0,67.5,7.5,0,0,0
V__MCEND001,2026-09-01,26,2,60.0,67.5,7.5,0,0,0
V__MCEND001,2026-09-01,27,2,60.0,67.5,7.5,1,0,1
V__MCEND001,2026-09-01,28,2,60.0,67.5,7.5,1,1,0
V__MCEND001,2026-09-01,29,2,64.255,71.755,7.5,1,1,1
V__MCEND001,2026-09-01,30,2,92.08,99.58,7.5,1,0,1
V__MCEND001,2026-09-01,31,2,93.205,100.705,7.5,1,1,1
V__MCEND001,2026-09-01,32,2,106.22,113.72,7.5,0,0,0
V__MCEND001,2026-09-01,33,2,136.525,144.025,7.5,0,0,0
V__MCEND001,2026-09-01,34,2,136.04500000000002,151.04500000000002,15.0,0,0,0
V__MCEND001,2026-09-01,35,2,123.865,131.365,7.500000000000014,0,0,0
V__MCEND001,2026-09-01,36,2,125.745,133.245,7.5,1,1,1
V__MCEND001,2026-09-01,37,2,154.125,169.125,15.0,1,0,1
