simulation,annual_market_value_gbp,availability_fraction,available_days,capex_multiplier,fixed_opex_multiplier,degradation_multiplier,debt_rate_multiplier,project_npv_gbp,equity_npv_gbp,project_irr_fraction,equity_irr_fraction,minimum_dscr,llcr,dscr_breach,equity_irr_below_hurdle
1139,1085997.193923272,0.9635178214763259,351,1.0641188686335177,1.0424410161676056,1.0830619487572613,1.0257362618857575,-23046178.054149177,-19943966.362907603,-0.1661497286601255,-0.3530142486795244,0.16960024118096664,0.21761403801782722,True,True
1140,1034652.0496573343,0.9881700347188889,360,0.965099414130135,0.9330824450087711,1.0217283609082095,0.9816970791990199,-20452031.98580128,-17577393.69818613,-0.152613557814112,-0.3250658490752587,0.20067812373381375,0.24896386987891644,True,True
1141,963781.152443524,0.9484676915178996,349,1.0267653527130853,0.9656596582441659,1.0249681701872309,1.0352826829074038,-22632433.100928668,-19614872.44447165,-0.17613403942848627,-0.3701334916479023,0.15000100520565587,0.19197018088283824,True,True
1142,1171567.4856892242,0.9582587098101735,353,0.9332817599903649,1.0285147849977139,0.9858893754805498,1.1183128256682706,-19026881.589685865,-16785526.06643332,-0.13454145731851982,-0.2983459531439859,0.23649229691465506,0.28986192697378427,True,True
1143,998609.1855982838,0.9178317740289644,342,1.0778323279686421,0.9926366255448923,1.1623902526291556,0.9557265873372883,-23869582.529185247,-20392941.39868091,-0.1818821021757083,-0.38019816559504543,0.14373049093705195,0.19074649344957922,True,True
1144,873287.776551899,0.9541271454714089,352,1.0164332637985463,0.9435080809606924,0.9068862768882509,1.0332459243568588,-22854497.60451419,-19797647.357998256,-0.18847806980869947,-0.39018537145660864,0.12858831046933478,0.16301036243048644,True,True
1145,928766.3816317318,0.9745032464541309,352,0.9944558747761352,1.0893759233867137,0.9398955473328863,1.0811168909320774,-22508514.427362096,-19640940.803236894,-0.19713431277495713,-0.4108938970575692,0.11489526836518998,0.15319581157647266,True,True
1146,1084419.5236247028,0.945703154113467,352,0.9479039744653653,1.0213616185978391,0.9248267824676026,0.9997490736919787,-19939051.756560605,-17199469.467555907,-0.14812051628296738,-0.3168752673802091,0.21018284898112588,0.25713358010934595,True,True
1147,931377.6737146873,0.921093101375003,335,0.9476246960993085,1.0201829270926586,1.1210495158666745,1.135451102221615,-21169362.1248107,-18639557.479997605,-0.19011471486303796,-0.4039502647606732,0.12428076454339332,0.17098525436421444,True,True
1148,1047072.6945205806,0.9450122460068919,342,0.9282347635382594,0.9694686558997746,0.9377895311113146,1.0079393638878786,-19520424.82129086,-16863558.974194318,-0.14795615935080542,-0.3168629197024567,0.21006298773652254,0.2568703460837156,True,True
