power_mw,duration_hours,energy_mwh,classification,development_overall_absorbed_pct,development_days_meeting_target_pct,development_days80_pct,development_days90_pct,development_days95_pct,development_p05_daily_absorbed_pct,development_median_daily_absorbed_pct,locked_overall_absorbed_pct,locked_days_meeting_target_pct,locked_days80_pct,locked_days90_pct,locked_days95_pct,locked_p05_daily_absorbed_pct,locked_median_daily_absorbed_pct,full_overall_absorbed_pct,full_days_meeting_target_pct,full_days80_pct,full_days90_pct,full_days95_pct,power_limited_periods,energy_limited_periods,equivalent_full_cycles,grid_reset_import_mwh,grid_reset_export_mwh,mean_daily_grid_reset_import_mwh,ending_soc_pct,wind_share_pct,design_operating_mode
10.0,16.0,160.0,long-duration storage territory,94.98092662263392,93.05555555555556,96.11111111111111,93.05555555555556,89.16666666666667,85.01354374151812,100.0,95.59744586210645,91.11111111111111,95.55555555555556,91.11111111111111,86.66666666666667,82.48042514464477,100.0,95.12621876109442,92.66666666666666,96.0,92.66666666666666,88.66666666666667,358,198,56.37035918503166,5989.463585078034,4273.916149107219,13.309919077951188,43.51696648873196,0,grid_connected_daily_soc_restore_50pct
20.0,8.0,160.0,extended-duration BESS,96.29188318893797,95.0,96.94444444444444,95.0,94.16666666666667,90.11863772100027,100.0,97.13777153758366,93.33333333333333,97.77777777777777,93.33333333333333,91.11111111111111,89.17256522719883,100.0,96.49122964758006,94.66666666666667,97.11111111111111,94.66666666666667,93.55555555555556,7,291,57.17924400106665,6082.635717147723,4382.395449550315,13.516968260328273,43.51696648873196,0,grid_connected_daily_soc_restore_50pct
40.0,4.0,160.0,short-duration BESS,96.29188318893797,95.0,96.94444444444444,95.0,94.16666666666667,90.11863772100027,100.0,97.13777153758366,93.33333333333333,97.77777777777777,93.33333333333333,91.11111111111111,89.17256522719883,100.0,96.49122964758006,94.66666666666667,97.11111111111111,94.66666666666667,93.55555555555556,0,293,57.17924400106666,6082.635717147723,4382.395449550315,13.516968260328273,43.51696648873196,0,grid_connected_daily_soc_restore_50pct
5.0,36.0,180.0,long-duration storage territory,81.2700056581839,61.94444444444444,77.22222222222223,61.94444444444444,51.388888888888886,60.717418958475236,95.75386619561189,81.74967062243485,55.55555555555556,73.33333333333333,55.55555555555556,44.44444444444444,59.49329175649793,92.2835338693954,81.38304600459747,60.66666666666667,76.44444444444444,60.66666666666667,50.0,1891,0,42.86787801721894,4905.846735480732,3435.5364749767205,10.901881634401626,44.62139612031771,0,grid_connected_daily_soc_restore_50pct
15.0,12.0,180.0,extended-duration BESS,97.63558422159417,96.94444444444444,98.61111111111111,96.94444444444444,95.83333333333334,98.43700443459154,100.0,98.55103634497408,97.77777777777777,98.88888888888889,97.77777777777777,96.66666666666667,97.60655635780765,100.0,97.85132444209057,97.11111111111111,98.66666666666667,97.11111111111111,96.0,59,174,51.54241388028025,6259.347481776056,4424.954780124252,13.909661070613458,44.23730354553952,0,grid_connected_daily_soc_restore_50pct
30.0,6.0,180.0,extended-duration BESS,97.72277152215452,96.94444444444444,98.61111111111111,96.94444444444444,96.11111111111111,100.0,100.0,98.72389842434484,97.77777777777777,98.88888888888889,97.77777777777777,96.66666666666667,99.55259448514366,100.0,97.95870230772744,97.11111111111111,98.66666666666667,97.11111111111111,96.22222222222221,0,183,51.59897432464616,6263.173460865945,4436.516204241082,13.918163246368767,44.23730354553952,0,grid_connected_daily_soc_restore_50pct
25.0,8.0,200.0,extended-duration BESS,98.7164360360935,98.61111111111111,99.16666666666667,98.61111111111111,98.33333333333333,100.0,100.0,99.35984895775907,98.88888888888889,100.0,98.88888888888889,97.77777777777777,100.0,100.0,98.8680660799213,98.66666666666667,99.33333333333333,98.66666666666667,98.22222222222223,1,109,46.87017707159403,6368.988691483836,4474.962719111388,14.153308203297414,44.813573190985565,0,grid_connected_daily_soc_restore_50pct
50.0,4.0,200.0,short-duration BESS,98.7164360360935,98.61111111111111,99.16666666666667,98.61111111111111,98.33333333333333,100.0,100.0,99.35984895775907,98.88888888888889,100.0,98.88888888888889,97.77777777777777,100.0,100.0,98.8680660799213,98.66666666666667,99.33333333333333,98.66666666666667,98.22222222222223,0,109,46.87017707159403,6368.988691483836,4474.962719111388,14.153308203297414,44.813573190985565,0,grid_connected_daily_soc_restore_50pct
100.0,2.0,200.0,short-duration BESS,98.7164360360935,98.61111111111111,99.16666666666667,98.61111111111111,98.33333333333333,100.0,100.0,99.35984895775907,98.88888888888889,100.0,98.88888888888889,97.77777777777777,100.0,100.0,98.8680660799213,98.66666666666667,99.33333333333333,98.66666666666667,98.22222222222223,0,109,46.87017707159403,6368.988691483836,4474.962719111388,14.153308203297414,44.813573190985565,0,grid_connected_daily_soc_restore_50pct
5.0,48.0,240.0,long-duration storage territory,81.2700056581839,61.94444444444444,77.22222222222223,61.94444444444444,51.388888888888886,60.717418958475236,95.75386619561189,81.74967062243485,55.55555555555556,73.33333333333333,55.55555555555556,44.44444444444444,59.49329175649793,92.2835338693954,81.38304600459747,60.66666666666667,76.44444444444444,60.66666666666667,50.0,1891,0,32.15090851291421,4905.846735480732,3435.536474976719,10.901881634401626,45.966047090238284,0,grid_connected_daily_soc_restore_50pct
