portfolio_type,settlement_date,gross_exposure_before_gbp,gross_exposure_after_gbp,signed_cashflow_before_gbp,signed_cashflow_after_gbp,absolute_imbalance_before_mwh,absolute_imbalance_after_mwh,peak_system_price_gbp_per_mwh,gross_exposure_reduction_gbp
mixed,2025-09-09,7677.0892542935035,6681.577652218356,-5813.53425603426,-5920.553487471108,108.44385424378945,96.4711695146912,138.0,995.5116020751475
mixed,2025-09-10,6769.323732367339,6755.041753926455,-5905.024509056328,-5902.696744607141,113.73741044770031,113.10395979552982,118.19884970998922,14.281978440883904
mixed,2025-09-11,1605.42173608023,1490.5174257970616,467.85114414446355,386.99937082234624,58.31851442612826,56.423854973412915,113.9,114.90431028316834
mixed,2025-09-12,1297.9596003612662,859.889491715704,600.7474891399654,419.0538587366119,61.05591544874039,55.71237639596521,120.0,438.0701086455622
mixed,2025-09-13,1201.0716562959506,0.0,740.6785581595138,0.0,36.79587669891117,0.0,128.0,1201.0716562959506
mixed,2025-09-14,4084.7508234550355,3488.765965687635,3421.9833220851788,3488.765965687635,47.99570733933447,38.450758676999705,118.5,595.9848577674006
mixed,2025-09-15,2079.3990072923116,1528.1546063995513,1765.3154885387344,1326.4064623702918,46.80220000925842,32.801967533927865,127.0,551.2444008927603
mixed,2025-09-16,2348.1482178412257,643.0776644855732,-473.9620224644883,-643.0776644855732,64.7590273808801,13.18998290833111,122.0,1705.0705533556525
mixed,2025-09-17,5736.02314069545,5471.267128694878,-5732.660559696394,-5467.904547695822,90.56991335153147,86.85001054530797,123.5,264.7560120005719
mixed,2025-09-18,4786.272478022934,4423.943590125189,-4303.540752391629,-4303.634108413048,74.04896199466388,70.18996955255885,121.95,362.3288878977446
mixed,2025-09-19,4964.68292768453,2393.564789297484,562.6901255939298,-2008.4280127931163,83.78584570586975,59.98183801418278,152.25,2571.118138387046
mixed,2025-09-20,4350.1460329280735,1259.7881275784393,-2585.8018145470564,-952.6942436886412,86.53049226128346,45.5433179073411,115.0,3090.357905349634
mixed,2025-09-21,5149.985990142651,5030.4448449547035,-4101.161542505308,-3981.70371316051,101.85398398720992,98.52834796549257,114.9,119.54114518794722
mixed,2025-09-22,3432.168398910701,3143.5845578278268,-2855.000716744953,-3143.5845578278268,52.2877751618747,49.08743741252681,115.0,288.5838410828742
mixed,2025-09-23,4233.635809717098,3660.317251548945,-4050.2933631663723,-3660.317251548945,47.06484932678713,41.08070045360381,179.2,573.3185581681528
mixed,2025-09-24,3449.391272216509,2666.734897131246,-2608.3339628558692,-2666.734897131246,39.62475983133116,28.96754573975516,157.0,782.6563750852633
mixed,2025-09-25,2795.8421906680646,1560.7294269273657,-1255.8446414924515,-1560.7294269273657,31.426388229692577,18.466786514915736,130.0,1235.112763740699
mixed,2025-09-26,6891.66022615798,2680.3998722433976,-1141.842288600699,-2680.3998722433976,79.39854285483682,31.392199888317773,114.9,4211.260353914582
mixed,2025-09-27,5200.635129505303,2847.208871083856,-4526.971423453942,-2847.208871083856,63.96089116489313,33.65816823759331,120.0,2353.4262584214466
mixed,2025-09-28,4518.585237704816,1308.968980039126,4358.9873923989935,1308.968980039126,48.881300501446,11.588961878483769,145.0,3209.61625766569
mixed,2025-09-29,3282.7331250136313,40.35920954471819,-983.524780426181,40.35920954471819,40.97848390537721,0.6360789526354325,169.6,3242.373915468913
mixed,2025-09-30,5176.690494707237,2871.420993962863,-5176.690494707237,-2871.420993962863,64.58791269138398,38.15503281459805,164.9,2305.269500744374
mixed,2025-10-01,6357.359321758615,6292.862760684548,-6294.2181948624375,-6292.862760684548,70.11754785327608,69.26732502792467,144.37,64.49656107406645
mixed,2025-10-02,7580.072768698541,7214.254013423938,-7234.070675692523,-7214.254013423938,88.80022466121626,85.24318011271025,115.0,365.81875527460306
mixed,2025-10-03,5627.437956879842,4748.622551672941,-4468.237575501697,-4673.654481255382,79.93717908590207,69.28676544853953,114.0,878.8154052069012
mixed,2025-10-04,1632.5898581197935,1632.5898581197935,-723.2692386959933,-723.2692386959933,100.77841659225531,100.77841659225531,85.0,0.0
mixed,2025-10-05,2333.817838187556,1788.738279463541,-1038.1936320937407,-1556.9940528419172,72.71988297229206,67.00648599437454,112.8,545.079558724015
mixed,2025-10-06,5406.488010631765,3824.846466000931,-4480.584692870783,-3778.0815279154426,65.66279144045498,47.166188946949255,145.0,1581.6415446308342
mixed,2025-10-07,4422.385913766814,2711.8429682145347,-3097.5577207274487,-2711.8429682145347,52.369169947374324,34.58398059143339,156.92,1710.5429455522794
